district,mandal,date,temp_min,temp_max
Adilabad,Adilabad Rural,2020-07-17,25.2,32.8
Adilabad,Adilabad Rural,2020-07-18,25.4,32.8
Adilabad,Adilabad Rural,2020-07-19,27.2,34.7
Adilabad,Adilabad Rural,2020-07-20,25.3,34.3
Adilabad,Adilabad Rural,2020-07-21,25.5,35.0
Adilabad,Adilabad Rural,2020-07-22,24.9,35.2
Adilabad,Adilabad Rural,2020-07-23,22.4,32.8
Adilabad,Adilabad Rural,2020-07-24,23.9,28.2
Adilabad,Adilabad Rural,2020-07-25,24.9,35.2
Adilabad,Adilabad Rural,2020-07-26,24.5,35.2
Adilabad,Adilabad Rural,2020-07-27,26.6,35.2
Adilabad,Adilabad Rural,2020-07-28,26.1,37.8
Adilabad,Adilabad Rural,2020-07-29,23.7,35.9
Adilabad,Adilabad Rural,2020-07-30,25.4,33.3
Adilabad,Adilabad Rural,2020-07-31,26.3,35.2
Adilabad,Adilabad Rural,2020-08-01,26.5,38.0
Adilabad,Adilabad Rural,2020-08-02,24.9,35.2
Adilabad,Adilabad Rural,2020-08-03,25.8,37.7
Adilabad,Adilabad Rural,2020-08-04,25.8,32.7
Adilabad,Adilabad Rural,2020-08-05,26.9,33.0
Adilabad,Adilabad Rural,2020-08-06,25.4,32.6
Adilabad,Adilabad Rural,2020-08-07,27.5,32.6
Adilabad,Adilabad Rural,2020-08-08,27.5,35.2
Adilabad,Adilabad Rural,2020-08-09,26.4,30.8
Adilabad,Adilabad Rural,2020-08-10,24.6,27.7
Adilabad,Adilabad Rural,2020-08-11,24.9,27.3
Adilabad,Adilabad Rural,2020-08-12,25.1,28.1
Adilabad,Adilabad Rural,2020-08-13,23.8,30.3
Adilabad,Adilabad Rural,2020-08-14,24.8,28.2
Adilabad,Adilabad Rural,2020-08-15,23.7,29.7
Adilabad,Adilabad Rural,2020-08-16,24.9,27.8
Adilabad,Adilabad Rural,2020-08-17,24.3,25.6
Adilabad,Adilabad Rural,2020-08-18,24.4,25.6
Adilabad,Adilabad Rural,2020-08-19,24.4,25.3
Adilabad,Adilabad Rural,2020-08-20,24.9,28.6
Adilabad,Adilabad Rural,2020-08-21,24.5,27.9
Adilabad,Adilabad Rural,2020-08-22,24.8,28.4
Adilabad,Adilabad Rural,2020-08-23,25.3,31.4
Adilabad,Adilabad Rural,2020-08-24,23.1,33.0
Adilabad,Adilabad Rural,2020-08-25,24.7,32.6
Adilabad,Adilabad Rural,2020-08-26,24.9,33.5
Adilabad,Adilabad Rural,2020-08-27,24.9,31.3
Adilabad,Adilabad Rural,2020-08-28,24.8,27.8
Adilabad,Adilabad Rural,2020-08-29,24.8,30.3
Adilabad,Adilabad Rural,2020-08-30,24.9,30.1
Adilabad,Adilabad Rural,2020-08-31,24.9,35.6
Adilabad,Adilabad Urban,2020-07-01,25.65,35.15
Adilabad,Adilabad Urban,2020-07-02,27.15,34.9
Adilabad,Adilabad Urban,2020-07-03,25.15,36.2
Adilabad,Adilabad Urban,2020-07-04,26.75,34.1
Adilabad,Adilabad Urban,2020-07-05,26.2,32.05
Adilabad,Adilabad Urban,2020-07-06,23.8,33.45
